"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","time_signature","sentiment","duration_min","tempo_div_100","popularity_div_1000"
FALSE,0.655,0.835,"1",-3.451,"1",0.059,0.0459,0,0.409,0.165,4,0.1813,3.17353333333333,0.91035,6.885
FALSE,0.761,0.673,"1",-5.887,"1",0.215,0.0917,1.04e-05,0.14,0.438,3,-0.9345,3.20675,1.60077,29.194
TRUE,0.666,0.728,"7",-5.808,"1",0.0419,0.00175,4.26e-06,0.0429,0.51,4,-0.9928,3.41463333333333,1.22996,1.538
FALSE,0.712,0.374,"0",-10.215,"0",0.511,0.795,0,0.187,0.779,4,-0.9831,1.80058333333333,1.33952,37.904
TRUE,0.602,0.658,"1",-5.934,"1",0.0558,0.0233,6e-05,0.237,0.268,4,0.9982,3.29245,1.45031,26.508
FALSE,0.797,0.293,"5",-7.479,"1",0.08,0.591,0.0724,0.148,0.478,4,-0.9942,2.02716666666667,0.80035,37.904
FALSE,0.511,0.718,"11",-6.293,"0",0.404,0.000322,0,0.111,0.267,4,0.8788,6.04731666666667,1.6642,6.885
FALSE,0.568,0.636,"11",-4.265,"1",0.204,0.00671,0,0.105,0.879,5,0.5818,3.29598333333333,1.13497,37.904
FALSE,0.492,0.712,"9",-7.278,"0",0.691,0.564,9.1e-05,0.357,0.23,3,-0.9659,2.73471666666667,1.37453,37.904
FALSE,0.639,0.312,"0",-9.902,"1",0.0301,0.774,0.469,0.0857,0.347,4,0.8738,2.51281666666667,1.03369,37.904
FALSE,0.557,0.338,"5",-9.892,"1",0.0257,0.134,0.00184,0.14,0.689,4,0.6822,1.41873333333333,1.40935,37.904
TRUE,0.513,0.661,"5",-6.419,"1",0.24,0.161,0,0.246,0.179,4,0.9987,3.48688333333333,0.94791,16.506
FALSE,0.772,0.809,"0",-3.994,"0",0.154,0.0863,0,0.115,0.654,4,-0.9922,2.14615,0.97407,11.865
FALSE,0.864,0.666,"1",-5.525,"1",0.234,0.0482,0,0.134,0.538,4,-0.9999,3.75013333333333,1.3212,11.394
FALSE,0.593,0.0668,"11",-15.268,"0",0.0722,0.949,1.31e-05,0.194,0.19,4,-0.5759,1.2829,1.02456,37.904
FALSE,0.871,0.316,"4",-12.964,"0",0.558,0.643,0,0.116,0.559,4,-0.9371,3.18433333333333,1.42041,16.468
TRUE,0.803,0.648,"4",-9.185,"0",0.198,0.0288,0,0.0904,0.538,4,0.9958,3.6592,1.31923,1.105
TRUE,0.931,0.387,"1",-9.127,"1",0.412,0.088,0,0.136,0.375,4,-0.9923,2.99008333333333,1.25978,11.865
FALSE,0.647,0.823,"2",-4.074,"1",0.0478,0.0387,0,0.74,0.309,4,-0.9914,2.91341666666667,1.50995,6.885
FALSE,0.603,0.67,"2",-4.809,"1",0.25,0.0871,0,0.326,0.159,4,-0.9811,3.20165,0.89842,6.885
TRUE,0.767,0.543,"1",-7.881,"0",0.103,0.049,0,0.115,0.485,4,0.593,2.95233333333333,1.06029,11.394
FALSE,0.682,0.639,"8",-4.406,"1",0.292,0.0284,0,0.197,0.183,4,-0.9851,3.97005,0.8909,6.885
FALSE,0.781,0.487,"8",-8.823,"1",0.589,0.0335,0,0.163,0.344,4,0.9953,3.04538333333333,0.95879,16.468
FALSE,0.793,0.395,"1",-5.578,"1",0.385,0.277,1.4e-05,0.109,0.129,4,0.9886,3.55478333333333,0.77027,16.468
FALSE,0.488,0.803,"6",-4.165,"0",0.205,0.0786,0,0.215,0.319,4,-0.9975,4.36238333333333,1.67329,6.885
FALSE,0.821,0.72,"10",-4.606,"0",0.222,0.00902,7.07e-06,0.158,0.285,4,-0.9973,3.08768333333333,1.50039,18.205
FALSE,0.49,0.651,"8",-6.24,"1",0.251,0.246,0,0.233,0.46,4,0.9969,4.11321666666667,1.64213,6.885
FALSE,0.766,0.703,"10",-5.877,"0",0.163,0.00807,0,0.0618,0.331,4,0.6341,2.80825,1.6306,15.416
FALSE,0.821,0.694,"9",-5.169,"1",0.229,0.03,0,0.411,0.23,4,-0.9954,3.92105,0.85047,18.031
FALSE,0.881,0.623,"1",-9.662,"1",0.119,0.257,1.5e-06,0.0964,0.745,4,-0.9734,2.15911666666667,0.88953,0.92
FALSE,0.92,0.458,"5",-5.643,"0",0.315,0.0171,0,0.107,0.403,4,-0.9961,2.66258333333333,1.32992,16.468
FALSE,0.609,0.836,"4",-3.442,"0",0.264,0.593,0,0.466,0.584,4,-0.9966,3.02123333333333,0.72099,6.885
FALSE,0.733,0.63,"11",-4.296,"1",0.395,0.13,0,0.162,0.833,4,-0.9941,2.53333333333333,1.49991,11.865
FALSE,0.672,0.565,"1",-6.504,"1",0.441,0.106,0,0.113,0.313,4,-0.9769,2.83043333333333,1.63827,16.468
FALSE,0.888,0.432,"10",-9.275,"0",0.0934,0.0562,0,0.112,0.173,4,-0.9924,2.8831,0.99965,16.468
TRUE,0.835,0.626,"1",-5.833,"1",0.125,0.0589,6e-05,0.396,0.35,4,-0.9758,3.63208333333333,0.9103,115.282
TRUE,0.545,0.854,"4",-4.968,"0",0.0289,0.00244,1.2e-06,0.249,0.436,4,-0.4196,2.98311666666667,0.91967,4.232
TRUE,0.963,0.346,"5",-9.309,"0",0.53,0.0355,0,0.108,0.562,4,-0.0752,2.37121666666667,1.19957,115.282
TRUE,0.912,0.412,"7",-8.074,"1",0.123,0.0165,0.0126,0.104,0.423,4,0.2019,3.9769,1.54983,115.282
TRUE,0.397,0.843,"10",-3.726,"0",0.0987,0.158,0,0.0844,0.22,4,0.9985,3.98901666666667,0.81201,9.484
FALSE,0.755,0.615,"4",-8.245,"1",0.0454,0.00587,1.75e-06,0.109,0.039,4,-0.9992,3.5894,1.05955,10.198
FALSE,0.64,0.321,"0",-14.604,"1",0.0931,0.693,0.0307,0.114,0.177,4,0.9861,3.50626666666667,1.45045,8.16
FALSE,0.81,0.353,"6",-9.931,"0",0.31,0.588,0,0.102,0.0727,4,-0.6519,3.47155,0.88031,18.031
FALSE,0.825,0.572,"6",-6.067,"0",0.0864,0.0079,0,0.113,0.568,4,-0.9977,2.93256666666667,1.41991,12.903
TRUE,0.63,0.694,"11",-6.257,"0",0.0253,0.00281,0,0.0719,0.216,4,0.9978,3.25865,0.97005,11.624
TRUE,0.434,0.831,"8",-4.774,"1",0.0453,0.0651,0,0.119,0.596,4,0.9881,3.09066666666667,1.56034,2.507
FALSE,0.753,0.686,"1",-5.415,"0",0.284,0.0677,0,0.193,0.886,4,0.9531,3.24553333333333,1.32055,115.282
FALSE,0.635,0.902,"0",-3.559,"1",0.109,0.172,0,0.125,0.285,4,0.3736,3.63036666666667,1.02062,11.865
FALSE,0.565,0.855,"5",-4.189,"1",0.0557,0.0445,0,0.32,0.852,4,0.9892,3.48155,0.7498,6.415
TRUE,0.807,0.153,"7",-14.343,"1",0.102,0.978,0.944,0.119,0.17,4,0.9986,3.51695,0.75023,10.875
FALSE,0.87,0.35,"1",-6.082,"1",0.277,0.00661,0.000483,0.108,0.175,4,-0.9851,2.80578333333333,0.74963,18.031
TRUE,0.901,0.522,"2",-8.304,"1",0.33,0.0114,0,0.259,0.329,4,-0.9956,2.13245,1.04053,29.194
TRUE,0.669,0.574,"4",-6.442,"0",0.0286,0.0175,0.00294,0.146,0.273,4,0.5742,3.27333333333333,1.20013,37.904
FALSE,0.699,0.558,"11",-7.622,"1",0.0603,0.462,0,0.116,0.493,4,-0.9705,2.75,0.79992,1.831
TRUE,0.752,0.505,"9",-7.621,"1",0.253,0.535,2.55e-06,0.104,0.419,4,0.9988,3.29061666666667,0.9197,6.936
TRUE,0.782,0.51,"4",-5.724,"0",0.0419,0.143,0,0.115,0.118,4,-0.9875,2.38958333333333,0.99993,32.227
TRUE,0.74,0.613,"8",-4.88,"1",0.145,0.258,0.00372,0.123,0.473,4,-0.9933,2.77676666666667,0.75023,37.904
FALSE,0.414,0.404,"0",-9.928,"0",0.0499,0.271,0,0.3,0.224,4,-0.9753,5.90533333333333,0.71105,22.263
FALSE,0.66,0.615,"1",-7.2,"1",0.47,0.114,0,0.315,0.501,4,-0.9577,2.75861666666667,1.74034,18.205
TRUE,0.79,0.629,"8",-4.055,"1",0.142,0.182,7.06e-06,0.338,0.267,4,0.9859,2.827,1.70023,2.671
FALSE,0.856,0.694,"2",-4.393,"1",0.169,0.371,0,0.109,0.489,4,-0.988,5.40315,1.2208,40.403
TRUE,0.711,0.796,"10",-5.87,"1",0.0341,0.0716,0.0045,0.262,0.901,4,-0.9334,3.47888333333333,1.09991,5.042
FALSE,0.454,0.66,"0",-4.357,"1",0.168,0.0364,0,0.181,0.568,4,-0.978,3.54481666666667,1.84353,4.2
TRUE,0.745,0.346,"1",-7.709,"1",0.331,0.00552,0,0.0881,0.112,4,-0.9844,3.954,2.03911,6.664
FALSE,0.544,0.524,"8",-7.914,"1",0.0621,0.136,0,0.106,0.117,4,0.9435,2.15715,0.81982,10.198
FALSE,0.659,0.672,"9",-7.442,"1",0.264,0.413,0,0.125,0.452,4,-0.9803,2.97143333333333,1.39868,10.198
FALSE,0.728,0.517,"8",-11.404,"1",0.0629,0.0555,1.95e-06,0.107,0.379,4,-0.9898,2.88548333333333,1.11974,10.198
TRUE,0.758,0.574,"11",-6.889,"0",0.0572,0.46,0.00272,0.102,0.261,4,0.9915,3.18578333333333,1.51985,0.818
TRUE,0.6,0.683,"6",-6.271,"1",0.0493,0.0984,1.26e-06,0.11,0.494,4,0.7199,3.504,1.02036,8.071
TRUE,0.75,0.404,"9",-10.178,"0",0.0682,0.216,0.000357,0.0911,0.0499,4,0.9945,3.87088333333333,0.95045,37.635
FALSE,0.638,0.4,"11",-11.212,"0",0.0425,0.733,0.000133,0.334,0.495,4,0.6936,2.76821666666667,1.50133,25.51
FALSE,0.854,0.708,"1",-5.805,"0",0.244,0.175,0,0.241,0.172,4,-0.4607,2.70221666666667,1.18032,1.504
FALSE,0.675,0.23,"1",-10.363,"0",0.204,0.191,0,0.104,0.101,4,0.888,3.532,1.73962,25.51
FALSE,0.636,0.501,"11",-7.26,"0",0.329,0.413,0,0.339,0.196,4,0.9986,4.41866666666667,0.82309,25.51
FALSE,0.781,0.768,"11",-5.991,"1",0.0394,0.0119,4.91e-06,0.325,0.486,4,-0.8994,3.55515,1.2307,33.471
TRUE,0.527,0.761,"0",-4.708,"1",0.341,0.073,0,0.0865,0.653,5,0.9952,4.33333333333333,1.35543,14.629
TRUE,0.758,0.867,"11",-5.087,"1",0.0475,0.152,0,0.308,0.964,4,0.9838,2.77621666666667,1.02018,11.498
TRUE,0.893,0.651,"0",-8.647,"0",0.367,0.0995,0,0.371,0.6,4,0,4.22633333333333,1.05835,57.511
FALSE,0.921,0.607,"1",-7.397,"1",0.209,0.525,1.12e-06,0.123,0.753,4,-0.9992,3.28465,1.40071,1.504
FALSE,0.799,0.616,"1",-8.809,"1",0.157,0.319,0,0.134,0.667,4,-0.9918,3.07266666666667,1.14014,25.51
TRUE,0.753,0.657,"7",-3.061,"1",0.0449,0.171,0,0.112,0.437,4,-0.9654,3.07886666666667,1.0701,6.415
FALSE,0.485,0.306,"0",-8.431,"1",0.0409,0.794,0,0.122,0.224,4,-0.9022,3.45445,2.03729,0.233
FALSE,0.669,0.684,"7",-4.595,"1",0.0585,0.252,0,0.72,0.466,4,-0.9947,3.20895,0.96097,14.928
FALSE,0.312,0.499,"7",-6.282,"1",0.0397,0.272,0,0.0901,0.191,4,0.9927,4.56066666666667,1.48173,13.669
FALSE,0.749,0.794,"0",-5.063,"1",0.064,0.0193,0,0.543,0.46,4,-0.9936,4.49256666666667,1.35959,57.511
FALSE,0.85,0.785,"8",-4.963,"0",0.345,0.0367,0,0.155,0.718,4,-0.9983,5.71831666666667,1.45063,16.159
TRUE,0.507,0.372,"1",-8.433,"1",0.0303,0.481,0,0.271,0.257,4,-0.5724,3.32821666666667,0.86422,3.005
FALSE,0.792,0.571,"8",-7.539,"0",0.094,0.301,0,0.1,0.556,4,-0.9953,2.32,0.99999,1.831
TRUE,0.559,0.684,"8",-5.321,"1",0.0298,0.269,0.000239,0.096,0.592,4,-0.9866,3.37308333333333,0.90036,9.607
TRUE,0.699,0.713,"9",-5.507,"0",0.0594,0.04,3.11e-06,0.294,0.354,4,0.7234,3.432,1.21993,26.508
FALSE,0.81,0.458,"4",-7.495,"0",0.105,0.266,0,0.174,0.493,4,-0.9977,4.51778333333333,1.25049,15.416
FALSE,0.732,0.586,"1",-7.868,"1",0.232,0.0402,2.66e-06,0.121,0.73,4,-0.9806,2.832,0.7648,15.416
FALSE,0.694,0.63,"7",-6.84,"0",0.162,0.0998,0.000635,0.12,0.341,4,0.944,3.15821666666667,0.90045,18.416
