"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","popularity","sentiment"
FALSE,0.631,0.953,"2",-3.739,"1",0.0343,0.0241,0.0155,0.108,0.422,141.99,273803,4,9863.66666666667,-0.9822
TRUE,0.568,0.656,"8",-5.413,"1",0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4,26508,0.8873
TRUE,0.477,0.61,"11",-5.628,"0",0.144,0.225,0,0.107,0.358,79.882,213993,4,9484,0.9591
TRUE,0.708,0.648,"6",-5.626,"1",0.0449,0.0956,0,0.134,0.338,143.955,201707,4,18416,0.9896
TRUE,0.638,0.717,"2",-4.722,"1",0.0337,0.346,0,0.105,0.249,100.027,180000,4,14953,0.9996
TRUE,0.762,0.696,"5",-4.795,"0",0.126,0.0172,1.33e-06,0.22,0.532,147.123,189692,4,115282,-0.977
TRUE,0.629,0.464,"4",-8.72,"1",0.0334,0.75,0,0.0853,0.523,156.051,195053,4,727,0.9977
TRUE,0.8,0.526,"8",-5.153,"1",0.0716,0.334,0.00174,0.0571,0.746,129.874,150475,4,37904,0.9646
TRUE,0.458,0.897,"9",-4.879,"1",0.0402,0.0183,0,0.174,0.728,160.131,212067,4,1489,0.9954
TRUE,0.704,0.611,"2",-6.112,"1",0.0409,0.217,0,0.0812,0.22,100,189467,4,56375,0.9975
FALSE,0.455,0.292,"0",-6.792,"1",0.0563,0.889,0,0.106,0.43,84.339,178467,5,14953,0.9982
TRUE,0.533,0.907,"11",-3.793,"1",0.0406,0.0292,0,0.386,0.7,150.99,183160,4,16113,0.9967
TRUE,0.656,0.542,"7",-7.358,"1",0.323,0.0484,0,0.126,0.551,166.111,141587,4,15416,-0.9201
FALSE,0.808,0.617,"10",-9.32,"0",0.442,0.111,0,0.734,0.632,149.96,166400,4,12903,-0.9979
FALSE,0.901,0.464,"5",-9.789,"0",0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4,7223,0.9931
FALSE,0.898,0.733,"7",-4.75,"1",0.178,0.0533,0.000115,0.102,0.295,96.51,237493,4,7625,0.9982
FALSE,0.487,0.859,"4",-4.403,"1",0.0488,0.00204,0,0.322,0.377,148.037,228480,4,79,0.5994
TRUE,0.706,0.855,"10",-5.377,"1",0.215,0.0911,0,0.347,0.293,107.184,201253,4,23101,0
FALSE,0.745,0.715,"1",-3.368,"0",0.246,0.128,0,0.182,0.342,94.511,136032,4,11865,-0.9986
TRUE,0.876,0.786,"10",-4.884,"0",0.306,0.0627,0,0.127,0.575,153.068,244679,4,57511,0.9961
TRUE,0.499,0.797,"2",-3.77,"1",0.0554,0.199,0,0.0933,0.408,176.024,211768,4,1007,0.9705
TRUE,0.734,0.493,"0",-7.528,"1",0.308,0.0467,0,0.0477,0.562,86.043,233750,4,6885,-0.9926
FALSE,0.735,0.525,"6",-2.939,"0",0.0441,0.653,0.918,0.101,0.369,160.147,157777,4,37904,0.9144
FALSE,0.321,0.64,"2",-10.023,"1",0.0324,0.28,0,0.718,0.414,146.172,214333,3,805,-0.9389
FALSE,0.774,0.608,"7",-6.264,"1",0.128,0.128,0,0.0895,0.56,137.494,182521,4,441,0.9935
FALSE,0.36,0.233,"5",-14.716,"0",0.0327,0.932,0.00231,0.151,0.177,106.107,270935,4,10324,0.9601
FALSE,0.769,0.627,"7",-4.064,"1",0.262,0.394,0,0.106,0.49,157.938,164038,4,18205,-0.9809
FALSE,0.814,0.667,"6",-4.785,"0",0.36,0.0369,0,0.11,0.376,80.031,240000,4,18205,-0.9421
FALSE,0.764,0.784,"10",-4.003,"0",0.0833,0.469,0,0.123,0.51,144.981,186403,4,18205,0.6122
FALSE,0.655,0.835,"1",-3.451,"1",0.059,0.0459,0,0.409,0.165,91.035,190412,4,6885,0.1813
FALSE,0.761,0.673,"1",-5.887,"1",0.215,0.0917,1.04e-05,0.14,0.438,160.077,192405,3,29194,-0.9345
TRUE,0.666,0.728,"7",-5.808,"1",0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,204878,4,1538,-0.9928
FALSE,0.712,0.374,"0",-10.215,"0",0.511,0.795,0,0.187,0.779,133.952,108035,4,37904,-0.9831
TRUE,0.602,0.658,"1",-5.934,"1",0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4,26508,0.9982
FALSE,0.797,0.293,"5",-7.479,"1",0.08,0.591,0.0724,0.148,0.478,80.035,121630,4,37904,-0.9942
FALSE,0.511,0.718,"11",-6.293,"0",0.404,0.000322,0,0.111,0.267,166.42,362839,4,6885,0.8788
FALSE,0.568,0.636,"11",-4.265,"1",0.204,0.00671,0,0.105,0.879,113.497,197759,5,37904,0.5818
FALSE,0.492,0.712,"9",-7.278,"0",0.691,0.564,9.1e-05,0.357,0.23,137.453,164083,3,37904,-0.9659
FALSE,0.639,0.312,"0",-9.902,"1",0.0301,0.774,0.469,0.0857,0.347,103.369,150769,4,37904,0.8738
FALSE,0.557,0.338,"5",-9.892,"1",0.0257,0.134,0.00184,0.14,0.689,140.935,85124,4,37904,0.6822
TRUE,0.513,0.661,"5",-6.419,"1",0.24,0.161,0,0.246,0.179,94.791,209213,4,16506,0.9987
FALSE,0.772,0.809,"0",-3.994,"0",0.154,0.0863,0,0.115,0.654,97.407,128769,4,11865,-0.9922
FALSE,0.864,0.666,"1",-5.525,"1",0.234,0.0482,0,0.134,0.538,132.12,225008,4,11394,-0.9999
FALSE,0.593,0.0668,"11",-15.268,"0",0.0722,0.949,1.31e-05,0.194,0.19,102.456,76974,4,37904,-0.5759
FALSE,0.871,0.316,"4",-12.964,"0",0.558,0.643,0,0.116,0.559,142.041,191060,4,16468,-0.9371
TRUE,0.803,0.648,"4",-9.185,"0",0.198,0.0288,0,0.0904,0.538,131.923,219552,4,1105,0.9958
TRUE,0.931,0.387,"1",-9.127,"1",0.412,0.088,0,0.136,0.375,125.978,179405,4,11865,-0.9923
FALSE,0.647,0.823,"2",-4.074,"1",0.0478,0.0387,0,0.74,0.309,150.995,174805,4,6885,-0.9914
FALSE,0.603,0.67,"2",-4.809,"1",0.25,0.0871,0,0.326,0.159,89.842,192099,4,6885,-0.9811
TRUE,0.767,0.543,"1",-7.881,"0",0.103,0.049,0,0.115,0.485,106.029,177140,4,11394,0.593
FALSE,0.682,0.639,"8",-4.406,"1",0.292,0.0284,0,0.197,0.183,89.09,238203,4,6885,-0.9851
FALSE,0.781,0.487,"8",-8.823,"1",0.589,0.0335,0,0.163,0.344,95.879,182723,4,16468,0.9953
FALSE,0.793,0.395,"1",-5.578,"1",0.385,0.277,1.4e-05,0.109,0.129,77.027,213287,4,16468,0.9886
FALSE,0.488,0.803,"6",-4.165,"0",0.205,0.0786,0,0.215,0.319,167.329,261743,4,6885,-0.9975
FALSE,0.821,0.72,"10",-4.606,"0",0.222,0.00902,7.07e-06,0.158,0.285,150.039,185261,4,18205,-0.9973
FALSE,0.49,0.651,"8",-6.24,"1",0.251,0.246,0,0.233,0.46,164.213,246793,4,6885,0.9969
FALSE,0.766,0.703,"10",-5.877,"0",0.163,0.00807,0,0.0618,0.331,163.06,168495,4,15416,0.6341
FALSE,0.821,0.694,"9",-5.169,"1",0.229,0.03,0,0.411,0.23,85.047,235263,4,18031,-0.9954
FALSE,0.881,0.623,"1",-9.662,"1",0.119,0.257,1.5e-06,0.0964,0.745,88.953,129547,4,920,-0.9734
FALSE,0.92,0.458,"5",-5.643,"0",0.315,0.0171,0,0.107,0.403,132.992,159755,4,16468,-0.9961
FALSE,0.609,0.836,"4",-3.442,"0",0.264,0.593,0,0.466,0.584,72.099,181274,4,6885,-0.9966
FALSE,0.733,0.63,"11",-4.296,"1",0.395,0.13,0,0.162,0.833,149.991,152000,4,11865,-0.9941
FALSE,0.672,0.565,"1",-6.504,"1",0.441,0.106,0,0.113,0.313,163.827,169826,4,16468,-0.9769
FALSE,0.888,0.432,"10",-9.275,"0",0.0934,0.0562,0,0.112,0.173,99.965,172986,4,16468,-0.9924
TRUE,0.835,0.626,"1",-5.833,"1",0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4,115282,-0.9758
TRUE,0.545,0.854,"4",-4.968,"0",0.0289,0.00244,1.2e-06,0.249,0.436,91.967,178987,4,4232,-0.4196
TRUE,0.963,0.346,"5",-9.309,"0",0.53,0.0355,0,0.108,0.562,119.957,142273,4,115282,-0.0752
TRUE,0.912,0.412,"7",-8.074,"1",0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4,115282,0.2019
TRUE,0.397,0.843,"10",-3.726,"0",0.0987,0.158,0,0.0844,0.22,81.201,239341,4,9484,0.9985
FALSE,0.755,0.615,"4",-8.245,"1",0.0454,0.00587,1.75e-06,0.109,0.039,105.955,215364,4,10198,-0.9992
FALSE,0.64,0.321,"0",-14.604,"1",0.0931,0.693,0.0307,0.114,0.177,145.045,210376,4,8160,0.9861
FALSE,0.81,0.353,"6",-9.931,"0",0.31,0.588,0,0.102,0.0727,88.031,208293,4,18031,-0.6519
FALSE,0.825,0.572,"6",-6.067,"0",0.0864,0.0079,0,0.113,0.568,141.991,175954,4,12903,-0.9977
TRUE,0.63,0.694,"11",-6.257,"0",0.0253,0.00281,0,0.0719,0.216,97.005,195519,4,11624,0.9978
TRUE,0.434,0.831,"8",-4.774,"1",0.0453,0.0651,0,0.119,0.596,156.034,185440,4,2507,0.9881
FALSE,0.753,0.686,"1",-5.415,"0",0.284,0.0677,0,0.193,0.886,132.055,194732,4,115282,0.9531
FALSE,0.635,0.902,"0",-3.559,"1",0.109,0.172,0,0.125,0.285,102.062,217822,4,11865,0.3736
FALSE,0.565,0.855,"5",-4.189,"1",0.0557,0.0445,0,0.32,0.852,74.98,208893,4,6415,0.9892
TRUE,0.807,0.153,"7",-14.343,"1",0.102,0.978,0.944,0.119,0.17,75.023,211017,4,10875,0.9986
FALSE,0.87,0.35,"1",-6.082,"1",0.277,0.00661,0.000483,0.108,0.175,74.963,168347,4,18031,-0.9851
TRUE,0.901,0.522,"2",-8.304,"1",0.33,0.0114,0,0.259,0.329,104.053,127947,4,29194,-0.9956
TRUE,0.669,0.574,"4",-6.442,"0",0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,37904,0.5742
FALSE,0.699,0.558,"11",-7.622,"1",0.0603,0.462,0,0.116,0.493,79.992,165000,4,1831,-0.9705
TRUE,0.752,0.505,"9",-7.621,"1",0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4,6936,0.9988
TRUE,0.782,0.51,"4",-5.724,"0",0.0419,0.143,0,0.115,0.118,99.993,143375,4,32227,-0.9875
TRUE,0.74,0.613,"8",-4.88,"1",0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,37904,-0.9933
FALSE,0.414,0.404,"0",-9.928,"0",0.0499,0.271,0,0.3,0.224,71.105,354320,4,22263,-0.9753
FALSE,0.66,0.615,"1",-7.2,"1",0.47,0.114,0,0.315,0.501,174.034,165517,4,18205,-0.9577
TRUE,0.79,0.629,"8",-4.055,"1",0.142,0.182,7.06e-06,0.338,0.267,170.023,169620,4,2671,0.9859
FALSE,0.856,0.694,"2",-4.393,"1",0.169,0.371,0,0.109,0.489,122.08,324189,4,40403,-0.988
TRUE,0.711,0.796,"10",-5.87,"1",0.0341,0.0716,0.0045,0.262,0.901,109.991,208733,4,5042,-0.9334
FALSE,0.454,0.66,"0",-4.357,"1",0.168,0.0364,0,0.181,0.568,184.353,212689,4,4200,-0.978
TRUE,0.745,0.346,"1",-7.709,"1",0.331,0.00552,0,0.0881,0.112,203.911,237240,4,6664,-0.9844
FALSE,0.544,0.524,"8",-7.914,"1",0.0621,0.136,0,0.106,0.117,81.982,129429,4,10198,0.9435
FALSE,0.659,0.672,"9",-7.442,"1",0.264,0.413,0,0.125,0.452,139.868,178286,4,10198,-0.9803
FALSE,0.728,0.517,"8",-11.404,"1",0.0629,0.0555,1.95e-06,0.107,0.379,111.974,173129,4,10198,-0.9898
TRUE,0.758,0.574,"11",-6.889,"0",0.0572,0.46,0.00272,0.102,0.261,151.985,191147,4,818,0.9915
TRUE,0.6,0.683,"6",-6.271,"1",0.0493,0.0984,1.26e-06,0.11,0.494,102.036,210240,4,8071,0.7199
TRUE,0.75,0.404,"9",-10.178,"0",0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4,37635,0.9945
FALSE,0.638,0.4,"11",-11.212,"0",0.0425,0.733,0.000133,0.334,0.495,150.133,166093,4,25510,0.6936
FALSE,0.854,0.708,"1",-5.805,"0",0.244,0.175,0,0.241,0.172,118.032,162133,4,1504,-0.4607
FALSE,0.675,0.23,"1",-10.363,"0",0.204,0.191,0,0.104,0.101,173.962,211920,4,25510,0.888
FALSE,0.636,0.501,"11",-7.26,"0",0.329,0.413,0,0.339,0.196,82.309,265120,4,25510,0.9986
FALSE,0.781,0.768,"11",-5.991,"1",0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4,33471,-0.8994
TRUE,0.527,0.761,"0",-4.708,"1",0.341,0.073,0,0.0865,0.653,135.543,260000,5,14629,0.9952
TRUE,0.758,0.867,"11",-5.087,"1",0.0475,0.152,0,0.308,0.964,102.018,166573,4,11498,0.9838
TRUE,0.893,0.651,"0",-8.647,"0",0.367,0.0995,0,0.371,0.6,105.835,253580,4,57511,0
FALSE,0.921,0.607,"1",-7.397,"1",0.209,0.525,1.12e-06,0.123,0.753,140.071,197079,4,1504,-0.9992
FALSE,0.799,0.616,"1",-8.809,"1",0.157,0.319,0,0.134,0.667,114.014,184360,4,25510,-0.9918
TRUE,0.753,0.657,"7",-3.061,"1",0.0449,0.171,0,0.112,0.437,107.01,184732,4,6415,-0.9654
FALSE,0.485,0.306,"0",-8.431,"1",0.0409,0.794,0,0.122,0.224,203.729,207267,4,233,-0.9022
FALSE,0.669,0.684,"7",-4.595,"1",0.0585,0.252,0,0.72,0.466,96.097,192537,4,14928,-0.9947
FALSE,0.312,0.499,"7",-6.282,"1",0.0397,0.272,0,0.0901,0.191,148.173,273640,4,13669,0.9927
FALSE,0.749,0.794,"0",-5.063,"1",0.064,0.0193,0,0.543,0.46,135.959,269554,4,57511,-0.9936
FALSE,0.85,0.785,"8",-4.963,"0",0.345,0.0367,0,0.155,0.718,145.063,343099,4,16159,-0.9983
TRUE,0.507,0.372,"1",-8.433,"1",0.0303,0.481,0,0.271,0.257,86.422,199693,4,3005,-0.5724
FALSE,0.792,0.571,"8",-7.539,"0",0.094,0.301,0,0.1,0.556,99.999,139200,4,1831,-0.9953
TRUE,0.559,0.684,"8",-5.321,"1",0.0298,0.269,0.000239,0.096,0.592,90.036,202385,4,9607,-0.9866
TRUE,0.699,0.713,"9",-5.507,"0",0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,26508,0.7234
FALSE,0.81,0.458,"4",-7.495,"0",0.105,0.266,0,0.174,0.493,125.049,271067,4,15416,-0.9977
FALSE,0.732,0.586,"1",-7.868,"1",0.232,0.0402,2.66e-06,0.121,0.73,76.48,169920,4,15416,-0.9806
FALSE,0.694,0.63,"7",-6.84,"0",0.162,0.0998,0.000635,0.12,0.341,90.045,189493,4,18416,0.944
FALSE,0.487,0.458,"4",-7.761,"0",0.0371,0.552,0.0257,0.117,0.207,115.989,270413,4,18416,0.8661
FALSE,0.721,0.508,"7",-7.496,"1",0.394,0.317,0,0.153,0.457,159.911,166343,4,12903,-0.9453
FALSE,0.75,0.387,"1",-10.123,"0",0.487,0.122,0,0.0993,0.739,143.019,102560,4,12903,-0.9929
FALSE,0.678,0.729,"8",-4.188,"1",0.137,0.0658,0,0.303,0.643,99.895,189173,4,16540,0.9997
TRUE,0.534,0.784,"8",-3.59,"1",0.0339,0.205,0.00579,0.106,0.6,92.147,238627,4,747,0.974
FALSE,0.95,0.489,"8",-8.411,"1",0.462,0.105,0,0.411,0.919,130.021,158769,4,11604,-0.9956
TRUE,0.643,0.783,"10",-6.458,"1",0.0856,0.047,0,0.083,0.579,154.084,163870,4,25729,0.4328
FALSE,0.853,0.637,"3",-5.924,"0",0.331,0.129,0,0.267,0.496,86.048,156195,4,115282,-0.9961
TRUE,0.362,0.882,"3",-3.717,"1",0.0973,0.0791,0,0.15,0.864,199.811,185200,4,22871,0.9953
FALSE,0.917,0.786,"11",-4.921,"0",0.208,0.0403,0,0.195,0.441,143.038,224903,4,18031,0.9975
TRUE,0.741,0.37,"8",-8.437,"0",0.324,0.24,0,0.118,0.13,116.06,219136,4,4151,0.9857
FALSE,0.86,0.408,"0",-5.389,"1",0.189,0.166,0,0.111,0.0548,75.481,180960,4,2671,0.961
FALSE,0.866,0.648,"1",-3.675,"1",0.0543,0.009,0,0.0967,0.0798,150.058,140793,4,25510,0.9991
FALSE,0.618,0.71,"8",-6.066,"1",0.331,0.407,0,0.183,0.233,112.014,249450,4,37904,0.482
FALSE,0.831,0.528,"2",-7.635,"1",0.534,0.0894,2.58e-05,0.396,0.232,153.987,211963,4,2671,0.9221
FALSE,0.938,0.5,"4",-10.08,"0",0.144,0.00183,0,0.077,0.462,140.011,201707,4,16468,0.9853
FALSE,0.69,0.714,"7",-5.948,"1",0.0338,0.0077,7.23e-05,0.191,0.489,112.009,187027,4,1464,-0.7149
TRUE,0.471,0.896,"9",-2.27,"1",0.0597,0.191,0,0.196,0.721,159.958,216093,4,20834,0.965
FALSE,0.715,0.616,"11",-5.558,"0",0.24,0.102,3.41e-06,0.186,0.284,176.122,130929,4,18205,-0.7739
FALSE,0.962,0.573,"7",-5.924,"1",0.308,0.0161,0,0.109,0.728,125.035,237655,4,16468,0.9907
