"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","sentiment","duration_min","log_popularity"
TRUE,0.553,0.586,"11",-6.319,"1",0.0362,0.697,0,0.0813,0.443,126.684,4,0.9707,3.27288333333333,5.50938833662798
TRUE,0.897,0.662,"1",-6.903,"0",0.292,0.0852,0,0.534,0.389,112.511,4,-0.9985,2.42571666666667,9.7091743828898
TRUE,0.717,0.653,"1",-5.634,"1",0.0658,0.229,0,0.101,0.412,106.966,4,0,3.45533333333333,10.1852018532081
FALSE,0.678,0.533,"4",-10.485,"1",0.186,0.462,0.219,0.139,0.323,150.455,4,0.8948,3.01588333333333,9.00699944795815
TRUE,0.494,0.632,"5",-6.89,"1",0.0342,0.682,0,0.0869,0.0797,147.873,4,0.875,4.57821666666667,9.2422265608385
TRUE,0.596,0.854,"7",-5.114,"0",0.463,0.0169,0,0.124,0.152,120.274,4,0.3527,3.3903,9.05263337594615
TRUE,0.68,0.578,"10",-5.804,"1",0.04,0.331,0,0.135,0.341,145.038,4,0.9972,3.85445,10.3805598894967
FALSE,0.383,0.637,"3",-6.993,"1",0.0703,0.0722,0,0.368,0.0827,177.913,4,-0.9962,4.34621666666667,10.939781076805
FALSE,0.574,0.37,"10",-10.803,"1",0.084,0.634,8.76e-05,0.0986,0.354,83.163,4,-0.961,3.52711666666667,9.82097513096166
TRUE,0.964,0.487,"10",-6.071,"0",0.421,0.00127,6.57e-06,0.115,0.107,127.05,4,0.8715,2.56706666666667,9.7091743828898
TRUE,0.579,0.511,"8",-6.788,"1",0.0293,0.254,0,0.099,0.594,78.003,4,0.9851,3.84955,7.77988511507052
TRUE,0.489,0.581,"11",-5.731,"1",0.0281,0.0312,0,0.132,0.494,86.016,4,0.6832,3.27911666666667,9.15915233520675
TRUE,0.95,0.59,"8",-6.508,"0",0.29,0.00534,0,0.11,0.219,130.003,4,-0.9977,3.05878333333333,9.34084218004034
TRUE,0.861,0.603,"8",-5.788,"0",0.176,0.0521,0,0.0924,0.504,98.043,4,0,3.81266666666667,10.1468258111359
TRUE,0.788,0.842,"4",-4.006,"0",0.142,0.121,0.00112,0.166,0.481,190.077,4,0.4631,2.7746,9.34084218004034
TRUE,0.351,0.296,"4",-10.109,"0",0.0333,0.934,0,0.095,0.12,115.284,4,0.9932,3.33643333333333,9.82097513096166
TRUE,0.616,0.474,"10",-9.608,"1",0.0266,0.192,0.00762,0.0989,0.493,142.689,4,0.9958,3.50221666666667,10.595959505181
TRUE,0.543,0.868,"3",-4.69,"0",0.0354,0.0338,0.000289,0.19,0.433,144.07,4,0.9979,3.2148,9.17024727840974
TRUE,0.816,0.726,"5",-3.998,"0",0.129,0.099,0,0.372,0.65,136.048,4,0.9991,4.22316666666667,9.34084218004034
TRUE,0.91,0.366,"1",-9.954,"1",0.0941,0.0996,0,0.261,0.74,119.985,4,0.9313,2.53333333333333,9.80945156060953
TRUE,0.75,0.665,"8",-3.083,"1",0.124,0.265,0,0.0515,0.697,95.239,4,-0.928,3.65595,8.01400499477946
TRUE,0.799,0.579,"4",-5.144,"0",0.0487,0.00381,0,0.367,0.363,142.987,4,0,3.38601666666667,10.7705460225301
FALSE,0.553,0.502,"0",-5.972,"1",0.0409,0.299,0,0.764,0.296,129.976,4,-0.9532,3.50333333333333,7.90544164906029
TRUE,0.792,0.743,"7",-2.806,"1",0.0851,0.107,0,0.183,0.742,150.024,4,-0.9998,3.26061666666667,6.6631326959908
TRUE,0.729,0.625,"4",-5.266,"1",0.0315,0.194,0.00986,0.248,0.261,146.034,4,-0.9973,3.06511666666667,8.16820293023605
TRUE,0.736,0.67,"10",-6.702,"1",0.311,0.186,0,0.114,0.845,130.032,4,-0.6413,2.83331666666667,9.46521512145185
FALSE,0.406,0.359,"7",-6.145,"1",0.0293,0.685,3.67e-06,0.122,0.202,109.246,4,-0.7888,5.48155,7.90544164906029
TRUE,0.575,0.571,"1",-7.906,"1",0.0439,0.0558,0,0.0912,0.449,105.049,4,0.2628,3.29911666666667,9.72812174830818
FALSE,0.729,0.475,"8",-4.985,"1",0.0364,0.378,0,0.12,0.371,62.52,3,0.9959,3.53778333333333,10.1852018532081
TRUE,0.705,0.531,"1",-7.031,"1",0.0281,0.0135,2.11e-06,0.165,0.425,107.013,4,0.9906,2.97221666666667,10.2838057782223
TRUE,0.785,0.554,"0",-6.571,"1",0.0409,0.283,3.4e-06,0.116,0.144,128.047,4,0.99,2.50071666666667,10.1468258111359
TRUE,0.711,0.696,"7",-5.05,"1",0.0869,0.16,0,0.17,0.694,80.512,4,0.9984,3.15888333333333,7.97212112892166
TRUE,0.703,0.723,"9",-5.45,"0",0.0412,0.0302,2.06e-06,0.126,0.288,104.969,4,0,3.31505,10.5428119263986
TRUE,0.743,0.87,"1",-2.188,"1",0.212,0.0595,0,0.299,0.884,99.079,4,-0.9798,3.2364,8.93918760147561
TRUE,0.609,0.807,"5",-7.221,"1",0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,4,0.9791,3.97488333333333,8.27995071572253
FALSE,0.735,0.453,"8",-8.264,"0",0.0602,0.413,0,0.104,0.335,115.002,4,-0.9967,3.62311666666667,7.75061473277041
TRUE,0.731,0.657,"0",-8.56,"1",0.0434,0.0591,0,0.0874,0.49,159.97,4,0.9631,3.07483333333333,9.06670092177457
FALSE,0.631,0.953,"2",-3.739,"1",0.0343,0.0241,0.0155,0.108,0.422,141.99,4,-0.9822,4.56338333333333,9.19661325135618
TRUE,0.568,0.656,"8",-5.413,"1",0.0433,0.0211,1.37e-05,0.213,0.364,100.049,4,0.8873,3.30266666666667,10.1852018532081
TRUE,0.477,0.61,"11",-5.628,"0",0.144,0.225,0,0.107,0.358,79.882,4,0.9591,3.56655,9.1573614471853
TRUE,0.708,0.648,"6",-5.626,"1",0.0449,0.0956,0,0.134,0.338,143.955,4,0.9896,3.36178333333333,9.82097513096166
TRUE,0.638,0.717,"2",-4.722,"1",0.0337,0.346,0,0.105,0.249,100.027,4,0.9996,3,9.61266722758384
TRUE,0.762,0.696,"5",-4.795,"0",0.126,0.0172,1.33e-06,0.22,0.532,147.123,4,-0.977,3.16153333333333,11.6551365795861
TRUE,0.629,0.464,"4",-8.72,"1",0.0334,0.75,0,0.0853,0.523,156.051,4,0.9977,3.25088333333333,6.58892647753352
TRUE,0.8,0.526,"8",-5.153,"1",0.0716,0.334,0.00174,0.0571,0.746,129.874,4,0.9646,2.50791666666667,10.5428119263986
TRUE,0.458,0.897,"9",-4.879,"1",0.0402,0.0183,0,0.174,0.728,160.131,4,0.9954,3.53445,7.30586003268401
TRUE,0.704,0.611,"2",-6.112,"1",0.0409,0.217,0,0.0812,0.22,100,4,0.9975,3.15778333333333,10.939781076805
