"new_id"
"Goosebumps%:%Travis Scott"
"All I Want For Christmas Is You%:%Mariah Carey"
"Rockin' Around The Christmas Tree%:%Brenda Lee"
"Jingle Bell Rock%:%Bobby Helms"
"A Holly Jolly Christmas%:%Burl Ives"
"It's The Most Wonderful Time Of The Year%:%Andy Williams"
"Feliz Navidad%:%Jose Feliciano"
"Let It Snow, Let It Snow, Let It Snow%:%Dean Martin"
"The Christmas Song (Merry Christmas To You)%:%Nat King Cole"
"Underneath The Tree%:%Kelly Clarkson"
"Last Christmas%:%Wham!"
"Sleigh Ride%:%The Ronettes"
"It's Beginning To Look A Lot Like Christmas%:%Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
"Rudolph The Red-Nosed Reindeer%:%Gene Autry"
"Santa Tell Me%:%Ariana Grande"
"Christmas (Baby Please Come Home)%:%Darlene Love"
"White Christmas%:%Bing Crosby"
"(There's No Place Like) Home For The Holidays%:%Perry Como"
"It's Beginning To Look A Lot Like Christmas%:%Michael Buble"
"Here Comes Santa Claus (Right Down Santa Claus Lane)%:%Gene Autry"
"Wonderful Christmastime%:%Paul McCartney"
"Thriller%:%Michael Jackson"
"Lucid Dreams%:%Juice WRLD"
"Legends%:%Juice WRLD"
"Sunflower (Spider-Man: Into The Spider-Verse)%:%Post Malone"
"Without Me%:%Halsey"
"Speechless%:%Dan + Shay"
"Happier%:%Marshmello"
"Sweet But Psycho%:%Ava Max"
"Better%:%Khalid"
"Going Bad%:%Meek Mill Featuring Drake"
"24/7%:%Meek Mill Featuring Ella Mai"
"Shallow%:%Lady Gaga"
"High Hopes%:%Panic! At The Disco"
"Sicko Mode%:%Travis Scott"
"Wake Up%:%Travis Scott"
"Eastside%:%benny blanco"
"Look Back At It%:%A Boogie Wit da Hoodie"
"Ocean Eyes%:%Billie Eilish"
"When The Party's Over%:%Billie Eilish"
"Envy Me%:%Calboy"
"Beautiful Crazy%:%Luke Combs"
"Close Friends%:%Lil Baby"
"Girls Like You%:%Maroon 5 Featuring Cardi B"
"Be Alright%:%Dean Lewis"
"Drip Too Hard%:%Lil Baby"
"Thank U, Next%:%Ariana Grande"
"You Should See Me In A Crown%:%Billie Eilish"
"You Say%:%Lauren Daigle"
"Youngblood%:%5 Seconds Of Summer"
"Better Now%:%Post Malone"
"Bad Liar%:%Imagine Dragons"
"Saturday Nights%:%Khalid"
"Pure Cocaine%:%Lil Baby"
"This Is It%:%Scotty McCreery"
"Tequila%:%Dan + Shay"
"Money%:%Cardi B"
"ZEZE%:%Kodak Black Featuring Travis Scott"
"Twerk%:%City Girls Featuring Cardi B"
"Lovely%:%Billie Eilish"
"Millionaire%:%Chris Stapleton"
"Girl Like You%:%Jason Aldean"
"I Like It%:%Cardi B"
"Calling My Spirit%:%Kodak Black"
"Ella Quiere Beber%:%Anuel AA"
"Wake Up In The Sky%:%Gucci Mane X Bruno Mars X Kodak Black"
"Always Remember Us This Way%:%Lady Gaga"
"Leave Me Alone%:%Flipp Dinero"
"Mo Bamba%:%Sheck Wes"
"Armed And Dangerous%:%Juice WRLD"
"I'll Never Love Again%:%Lady Gaga"
"This Feeling%:%The Chainsmokers Featuring Kelsea Ballerini"
"Imagine%:%Ariana Grande"
"Sixteen%:%Thomas Rhett"
"Yosemite%:%Travis Scott"
"Good Girl%:%Dustin Lynch"
"Arms Around You%:%XXXTENTACION x Lil Pump Featuring Maluma"
"Uproar%:%Lil Wayne"
"Burning Man%:%Dierks Bentley Featuring Brothers Osborne"
"You%:%Jacquees"
"Talk To Me%:%Tory Lanez"
"Alone%:%Marshmello"
"Breathin%:%Ariana Grande"
"Trip%:%Ella Mai"
"Love Lies%:%Khalid"
"Beautiful%:%Bazzi Featuring Camila Cabello"
"No Stylist%:%French Montana Featuring Drake"
"Best Shot%:%Jimmie Allen"
"BAD!%:%XXXTENTACION"
"Blue Tacoma%:%Russell Dickerson"
"Natural%:%Imagine Dragons"
"Consequences%:%Camila Cabello"
"She Got The Best Of Me %:%Luke Combs"
"Fine China%:%Future"
"Nuketown%:%Ski Mask The Slump God Featuring Juice WRLD"
"Space Cadet%:%Metro Boomin Featuring Gunna"
"Good Form%:%Nicki Minaj Featuring Lil Wayne"
"Last Shot%:%Kip Moore"
"Lost In Japan%:%Shawn Mendes X Zedd"
"KIKA%:%6ix9ine Featuring Tory Lanez"
"Lucky You%:%Eminem Featuring Joyner Lucas"
"Drunk Me%:%Mitchell Tenpenny"
"Dangerous%:%Meek Mill Featuring Jeremih"
"whoa (mind in awe)%:%XXXTENTACION"
"Happy Xmas (War Is Over)%:%John"
"Cozy Little Christmas%:%Katy Perry"
"The Christmas Song%:%Lauren Daigle"
"MoshPit%:%Kodak Black Featuring Juice WRLD"
"Testimony%:%Kodak Black"
"Gnarly%:%Kodak Black Featuring Lil Pump"
"Uptown Vibes%:%Meek Mill Featuring Fabolous"
"MAMA%:%6ix9ine Featuring Nicki Minaj"
"Broken%:%lovelytheband"
"Guardian Angel%:%XXXTENTACION"
"God Is A Woman%:%Ariana Grande"
"I Don't Let Go%:%XXXTENTACION"
"What's Free%:%Meek Mill Featuring Rick Ross"
"One Minute%:%XXXTENTACION Featuring Kanye West"
"Train Food%:%XXXTENTACION"
"What Are You So Afraid Of%:%XXXTENTACION"
"Staring At The Sky%:%XXXTENTACION"
"Lie%:%NF"
"WAKA%:%6ix9ine Featuring A Boogie Wit da Hoodie"
"On Me%:%Meek Mill Featuring Cardi B"
"Difference (Interlude)%:%XXXTENTACION"
"TIC TOC%:%6ix9ine Featuring Lil Baby"
"That's On Me%:%Yella Beezy"
"FEFE%:%6ix9ine Featuring Nicki Minaj"
"Intro%:%Meek Mill"
"Respect The Game%:%Meek Mill"
"Ring%:%Cardi B Featuring Kehlani"
"Trauma%:%Meek Mill"
"Time%:%Lil Baby Featuring Meek Mill"
"Ready%:%Lil Baby Featuring Gunna"
"Championships%:%Meek Mill"
"Tic Tac Toe%:%Meek Mill Featuring Kodak Black"
"Almost Slipped%:%Meek Mill"
"Splash Warning%:%Meek Mill Featuring Future"
"Pay You Back%:%Meek Mill Featuring 21 Savage"
"Foot Fungus%:%Ski Mask The Slump God"
"Crush A Lot%:%Lil Baby"
"Oodles O' Noodles Babies%:%Meek Mill"
"STOOPID%:%6ix9ine Featuring Bobby Shmurda"
"Global%:%Lil Baby"
"Word On The Street%:%Lil Baby"
"In My Feelings%:%Drake"
"Lose It%:%Kane Brown"
"Yes Indeed%:%Lil Baby"
"Nonstop%:%Drake"
"Boo'd Up%:%Ella Mai"
"Topanga%:%Trippie Redd"
"Come Out And Play%:%Billie Eilish"
"10 Freaky Girls%:%Metro Boomin Featuring 21 Savage"
"1400 / 999 Freestyle%:%Trippie Redd Featuring Juice WRLD"
"I'm A Mess%:%Bebe Rexha"
"Hangin' On%:%Chris Young"
"Never Recover%:%Lil Baby"
"BEBE%:%6ix9ine Featuring Anuel AA"
"Rich%:%Maren Morris"
"Best Part%:%Daniel Caesar Featuring H.E.R."
"Don't Come Out The House%:%Metro Boomin Featuring 21 Savage"
"I Love It%:%Kanye West"
"Falling Down%:%Lil Peep"
"Noticed%:%Lil Mosey"
"I Like Me Better%:%Lauv"
"Psycho%:%Post Malone Featuring Ty Dolla $ign"
"Sad!%:%XXXTENTACION"
"Bohemian Rhapsody%:%Queen"
"Take One%:%Kodak Black"
"W O R K I N  M E%:%Quavo"
"Mona Lisa%:%Lil Wayne Featuring Kendrick Lamar"
"Desperate Man%:%Eric Church"
"Burn The House Down%:%AJR"
"Big Bank%:%YG Featuring 2 Chainz"
"Love Scars 3%:%Trippie Redd"
"Negative Energy%:%Trippie Redd Featuring Kodie Shane"
"Toxic Waste%:%Trippie Redd"
"Drew Barrymore%:%Bryce Vine"
"Back To You%:%Selena Gomez"
"Delicate%:%Taylor Swift"
"Overdue%:%Metro Boomin Featuring Travis Scott"
"Last Memory%:%TakeOff"
"Dreamcatcher%:%Metro Boomin Featuring Swae Lee"
"No More%:%Metro Boomin Featuring Travis Scott"
"Promises%:%Calvin Harris"
"No Brainer%:%DJ Khaled Featuring Justin Bieber"
"Hotel Key%:%Old Dominion"
"Killshot%:%Eminem"
"Casper%:%TakeOff"
"Up To Something%:%Metro Boomin Featuring Travis Scott"
