"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","time_signature","sentiment","scaled_duration","scaled_tempo","scaled_popularity"
TRUE,0.551,0.402,"11",-7.431,"1",0.0262,0.676,0,0.0928,0.382,4,0.9832,0.280629178752943,0.483365070156314,0.139770302388925
TRUE,0.676,0.578,"10",-4.669,"0",0.375,0.0509,0,0.0796,0.698,4,-0.9466,0.296143672843317,0.743418313160567,0.142849707673358
TRUE,0.851,0.541,"0",-6.825,"1",0.0505,0.568,0,0.13,0.448,4,0.9998,0.342136645493592,0.584639065767743,0.122707794798841
TRUE,0.553,0.586,"11",-6.319,"1",0.0362,0.697,0,0.0813,0.443,4,0.9707,0.285238062729046,0.592709732053879,0.0021425721274787
TRUE,0.897,0.662,"1",-6.903,"0",0.292,0.0852,0,0.534,0.389,4,-0.9985,0.211405862128569,0.526399266388131,0.142849707673358
TRUE,0.717,0.653,"1",-5.634,"1",0.0658,0.229,0,0.101,0.412,4,0,0.301138930326398,0.500456168094434,0.229940493745771
FALSE,0.678,0.533,"4",-10.485,"1",0.186,0.462,0.219,0.139,0.323,4,0.8948,0.262840019580131,0.703925852800404,0.0707829496365434
TRUE,0.494,0.632,"5",-6.89,"1",0.0342,0.682,0,0.0869,0.0797,4,0.875,0.399000367490591,0.691845585930372,0.0895543102999601
TRUE,0.596,0.854,"7",-5.114,"0",0.463,0.0169,0,0.124,0.152,4,0.3527,0.295471150536057,0.562719603999308,0.074087888829132
TRUE,0.68,0.578,"10",-5.804,"1",0.04,0.331,0,0.135,0.341,4,0.9972,0.335922713678348,0.678581621338374,0.279549279158932
FALSE,0.383,0.637,"3",-6.993,"1",0.0703,0.0722,0,0.368,0.0827,4,-0.9962,0.37878112231336,0.832392145487211,0.489018233549036
FALSE,0.574,0.37,"10",-10.803,"1",0.084,0.634,8.76e-05,0.0986,0.354,4,-0.961,0.307394985569095,0.389090330639992,0.159747402022866
TRUE,0.964,0.487,"10",-6.071,"0",0.421,0.00127,6.57e-06,0.115,0.107,4,0.8715,0.223724785860473,0.594422116900677,0.142849707673358
TRUE,0.579,0.511,"8",-6.788,"1",0.0293,0.254,0,0.099,0.594,4,0.9851,0.335495669275898,0.364948511488418,0.0207491195503201
TRUE,0.489,0.581,"11",-5.731,"1",0.0281,0.0312,0,0.132,0.494,4,0.6832,0.285781309689986,0.402438510880194,0.0824152946687254
TRUE,0.95,0.59,"8",-6.508,"0",0.29,0.00534,0,0.11,0.219,4,-0.9977,0.266578836899541,0.608238161853119,0.0988358980586735
TRUE,0.861,0.603,"8",-5.788,"0",0.176,0.0521,0,0.0924,0.504,4,0,0.332281216001673,0.458708599821276,0.221283461425027
TRUE,0.788,0.842,"4",-4.006,"0",0.142,0.121,0.00112,0.166,0.481,4,0.4631,0.241811714089415,0.889303209084061,0.0988358980586735
TRUE,0.351,0.296,"4",-10.109,"0",0.0333,0.934,0,0.095,0.12,4,0.9932,0.290776567173068,0.539373154858541,0.159747402022866
TRUE,0.616,0.474,"10",-9.608,"1",0.0266,0.192,0.00762,0.0989,0.493,4,0.9958,0.305224902789297,0.667591479247861,0.346741035027151
TRUE,0.543,0.868,"3",-4.69,"0",0.0354,0.0338,0.000289,0.19,0.433,4,0.9979,0.280175988774833,0.674052690923892,0.0833347790635138
TRUE,0.816,0.726,"5",-3.998,"0",0.129,0.099,0,0.372,0.65,4,0.9991,0.36805707869673,0.636520583708015,0.0988358980586735
TRUE,0.91,0.366,"1",-9.954,"1",0.0941,0.0996,0,0.261,0.74,4,0.9313,0.22078486113068,0.561367474980935,0.157917107614372
TRUE,0.75,0.665,"8",-3.083,"1",0.124,0.265,0,0.0515,0.697,4,-0.928,0.318623057783175,0.445589673290071,0.0262226540136361
TRUE,0.799,0.579,"4",-5.144,"0",0.0487,0.00381,0,0.367,0.363,4,0,0.295097849816908,0.668985716090335,0.412883190784338
FALSE,0.553,0.502,"0",-5.972,"1",0.0409,0.299,0,0.764,0.296,4,-0.9532,0.305322222432032,0.608111838380814,0.0235249214968512
TRUE,0.792,0.743,"7",-2.806,"1",0.0851,0.107,0,0.183,0.742,4,-0.9998,0.28416899919094,0.701909355890651,0.00679204038791832
TRUE,0.729,0.625,"4",-5.266,"1",0.0315,0.194,0.00986,0.248,0.261,4,-0.9973,0.267130799052368,0.683241553872282,0.0305945420794226
TRUE,0.736,0.67,"10",-6.702,"1",0.311,0.186,0,0.114,0.845,4,-0.6413,0.246928984258911,0.608373842619668,0.111925539112784
FALSE,0.406,0.359,"7",-6.145,"1",0.0293,0.685,3.67e-06,0.122,0.202,4,-0.7888,0.477727600867452,0.511123483533501,0.0235249214968512
TRUE,0.575,0.571,"1",-7.906,"1",0.0439,0.0558,0,0.0912,0.449,4,0.2628,0.287524348067334,0.491487201560797,0.145582137714474
FALSE,0.729,0.475,"8",-4.985,"1",0.0364,0.378,0,0.12,0.371,3,0.9959,0.308324606037013,0.292509018092328,0.229940493745771
TRUE,0.705,0.531,"1",-7.031,"1",0.0281,0.0135,2.11e-06,0.165,0.425,4,0.9906,0.259034385789589,0.500676064509187,0.253769018580524
TRUE,0.785,0.554,"0",-6.571,"1",0.0409,0.283,3.4e-06,0.116,0.144,4,0.99,0.217942256043622,0.599086728081708,0.221283461425027
TRUE,0.711,0.696,"7",-5.05,"1",0.0869,0.16,0,0.17,0.694,4,0.9984,0.275302743978166,0.376687237118515,0.0251470307593553
TRUE,0.703,0.723,"9",-5.45,"0",0.0412,0.0302,2.06e-06,0.126,0.288,4,0,0.288912968641287,0.491112909791005,0.328793740566611
TRUE,0.743,0.87,"1",-2.188,"1",0.212,0.0595,0,0.299,0.884,4,-0.9798,0.282058470222368,0.46355567824008,0.0661421557571867
TRUE,0.609,0.807,"5",-7.221,"1",0.0972,0.00403,5.42e-06,0.0926,0.492,4,0.9791,0.346418709773942,0.557100548805307,0.034211758990996
FALSE,0.735,0.453,"8",-8.264,"0",0.0602,0.413,0,0.104,0.335,4,-0.9967,0.315761569780363,0.538053776370025,0.0201505872555993
TRUE,0.731,0.657,"0",-8.56,"1",0.0434,0.0591,0,0.0874,0.49,4,0.9631,0.267977625197363,0.748443180170022,0.0751374889401641
FALSE,0.631,0.953,"2",-3.739,"1",0.0343,0.0241,0.0155,0.108,0.422,4,-0.9822,0.397707614027392,0.664321104909305,0.0855612035414607
TRUE,0.568,0.656,"8",-5.413,"1",0.0433,0.0211,1.37e-05,0.213,0.364,4,0.8873,0.287833737379313,0.468093965948806,0.229940493745771
TRUE,0.477,0.61,"11",-5.628,"0",0.144,0.225,0,0.107,0.358,4,0.9591,0.310831676236432,0.373739689431404,0.0822678301903159
TRUE,0.708,0.648,"6",-5.626,"1",0.0449,0.0956,0,0.134,0.338,4,0.9896,0.292985868316356,0.673514646504817,0.159747402022866
TRUE,0.638,0.717,"2",-4.722,"1",0.0337,0.346,0,0.105,0.249,4,0.9996,0.261455756602121,0.467991035712113,0.129708020332749
TRUE,0.762,0.696,"5",-4.795,"0",0.126,0.0172,1.33e-06,0.22,0.532,4,-0.977,0.275533696563164,0.688336600588574,1
TRUE,0.629,0.464,"4",-8.72,"1",0.0334,0.75,0,0.0853,0.523,4,0.9977,0.283320720513964,0.730107562097344,0.00630627504727538
TRUE,0.8,0.526,"8",-5.153,"1",0.0716,0.334,0.00174,0.0571,0.746,4,0.9646,0.218569749859468,0.607634616374329,0.328793740566611
TRUE,0.458,0.897,"9",-4.879,"1",0.0402,0.0183,0,0.174,0.728,4,0.9954,0.308034099640789,0.749196442356728,0.0129161534324526
TRUE,0.704,0.611,"2",-6.112,"1",0.0409,0.217,0,0.0812,0.22,4,0.9975,0.275206876867411,0.467864712239809,0.489018233549036
FALSE,0.455,0.292,"0",-6.792,"1",0.0563,0.889,0,0.106,0.43,5,0.9982,0.25922902507506,0.394592419655932,0.129708020332749
TRUE,0.533,0.907,"11",-3.793,"1",0.0406,0.0292,0,0.386,0.7,4,0.9967,0.266045757662469,0.706428929010887,0.139770302388925
TRUE,0.656,0.542,"7",-7.358,"1",0.323,0.0484,0,0.126,0.551,4,-0.9201,0.205659645611247,0.777174752148669,0.133724258774136
FALSE,0.808,0.617,"10",-9.32,"0",0.442,0.111,0,0.734,0.632,4,-0.9979,0.24170132165885,0.701609922474817,0.111925539112784
FALSE,0.901,0.464,"5",-9.789,"0",0.0645,0.368,1.71e-05,0.238,0.638,4,0.9931,0.295251818206907,0.509991250929881,0.062655054561857
FALSE,0.898,0.733,"7",-4.75,"1",0.178,0.0533,0.000115,0.102,0.295,4,0.9982,0.34496617779282,0.451536233782639,0.0661421557571867
FALSE,0.487,0.859,"4",-4.403,"1",0.0488,0.00204,0,0.322,0.377,4,0.5994,0.331874507046959,0.692612884058446,0.000685276105549869
TRUE,0.706,0.855,"10",-5.377,"1",0.215,0.0911,0,0.347,0.293,4,0,0.292326418796926,0.501476113167117,0.200386877396298
FALSE,0.745,0.715,"1",-3.368,"0",0.246,0.128,0,0.182,0.342,4,-0.9986,0.19759083045611,0.442183618184966,0.102921531548724
TRUE,0.876,0.786,"10",-4.884,"0",0.306,0.0627,0,0.127,0.575,4,0.9961,0.355404072609169,0.71615115773123,0.498872330459222
TRUE,0.499,0.797,"2",-3.77,"1",0.0554,0.199,0,0.0933,0.408,4,0.9705,0.307599792578433,0.823554181073001,0.0087351017504901
TRUE,0.734,0.493,"0",-7.528,"1",0.308,0.0467,0,0.0477,0.562,4,-0.9926,0.339529350587477,0.402564834352499,0.0597231137558335
FALSE,0.735,0.525,"6",-2.939,"0",0.0441,0.653,0.918,0.101,0.369,4,0.9144,0.229176138385627,0.749271300710686,0.328793740566611
FALSE,0.321,0.64,"2",-10.023,"1",0.0324,0.28,0,0.718,0.414,3,-0.9389,0.311325537110013,0.683887207175173,0.00698287677174234
FALSE,0.774,0.608,"7",-6.264,"1",0.128,0.128,0,0.0895,0.56,4,0.9935,0.265117589726532,0.643285907447003,0.00382540205756319
FALSE,0.36,0.233,"5",-14.716,"0",0.0327,0.932,0.00231,0.151,0.177,4,0.9601,0.393541752305531,0.496437210216294,0.0895543102999601
FALSE,0.769,0.627,"7",-4.064,"1",0.262,0.394,0,0.106,0.49,4,-0.9809,0.238270441119437,0.738936169217309,0.157917107614372
FALSE,0.814,0.667,"6",-4.785,"0",0.36,0.0369,0,0.11,0.376,4,-0.9421,0.348607675469495,0.374436807852641,0.157917107614372
FALSE,0.764,0.784,"10",-4.003,"0",0.0833,0.469,0,0.123,0.51,4,0.6122,0.270756318877251,0.678314938452397,0.157917107614372
FALSE,0.655,0.835,"1",-3.451,"1",0.059,0.0459,0,0.409,0.165,4,0.1813,0.276579519589573,0.42592064078751,0.0597231137558335
FALSE,0.761,0.673,"1",-5.887,"1",0.215,0.0917,1.04e-05,0.14,0.438,3,-0.9345,0.279474415827951,0.748943795412119,0.253239881334467
TRUE,0.666,0.728,"7",-5.808,"1",0.0419,0.00175,4.26e-06,0.0429,0.51,4,-0.9928,0.297591847228496,0.575454881466475,0.0133411981055152
FALSE,0.712,0.374,"0",-10.215,"0",0.511,0.795,0,0.187,0.779,4,-0.9831,0.156924292580612,0.626714139339469,0.328793740566611
TRUE,0.602,0.658,"1",-5.934,"1",0.0558,0.0233,6e-05,0.237,0.268,4,0.9982,0.286943335274884,0.678548870808517,0.229940493745771
FALSE,0.797,0.293,"5",-7.479,"1",0.08,0.591,0.0724,0.148,0.478,4,-0.9942,0.176671464863978,0.374455522441131,0.328793740566611
FALSE,0.511,0.718,"11",-6.293,"0",0.404,0.000322,0,0.111,0.267,4,0.8788,0.52703525149865,0.77862045410949,0.0597231137558335
FALSE,0.568,0.636,"11",-4.265,"1",0.204,0.00671,0,0.105,0.879,5,0.5818,0.287251272054882,0.531012412450816,0.328793740566611
FALSE,0.492,0.712,"9",-7.278,"0",0.691,0.564,9.1e-05,0.357,0.23,3,-0.9659,0.238335805058588,0.643094082914984,0.328793740566611
FALSE,0.639,0.312,"0",-9.902,"1",0.0301,0.774,0.469,0.0857,0.347,4,0.8738,0.218996794261918,0.483627074395168,0.328793740566611
FALSE,0.557,0.338,"5",-9.892,"1",0.0257,0.134,0.00184,0.14,0.689,4,0.6822,0.123645332361105,0.659385132195174,0.328793740566611
TRUE,0.513,0.661,"5",-6.419,"1",0.24,0.161,0,0.246,0.179,4,0.9987,0.303888573366664,0.443493639379237,0.143179334154508
FALSE,0.772,0.809,"0",-3.994,"0",0.154,0.0863,0,0.115,0.654,4,-0.9922,0.187041090677214,0.45573298025143,0.102921531548724
FALSE,0.864,0.666,"1",-5.525,"1",0.234,0.0482,0,0.134,0.538,4,-0.9999,0.3268313160085,0.618142857811235,0.0988358980586735
FALSE,0.593,0.0668,"11",-15.268,"0",0.0722,0.949,1.31e-05,0.194,0.19,4,-0.5759,0.111807196714954,0.479355469572418,0.328793740566611
FALSE,0.871,0.316,"4",-12.964,"0",0.558,0.643,0,0.116,0.559,4,-0.9371,0.27752076031334,0.664559715912547,0.142849707673358
TRUE,0.803,0.648,"4",-9.185,"0",0.198,0.0288,0,0.0904,0.538,4,0.9958,0.318906301519494,0.617221164328123,0.00958519109661526
TRUE,0.931,0.387,"1",-9.127,"1",0.412,0.088,0,0.136,0.375,4,-0.9923,0.260591500073353,0.589406607185466,0.102921531548724
FALSE,0.647,0.823,"2",-4.074,"1",0.0478,0.0387,0,0.74,0.309,4,-0.9914,0.253909852960188,0.706452322246499,0.0597231137558335
FALSE,0.603,0.67,"2",-4.809,"1",0.25,0.0871,0,0.326,0.159,4,-0.9811,0.279029941041727,0.420339014770489,0.0597231137558335
TRUE,0.767,0.543,"1",-7.881,"0",0.103,0.049,0,0.115,0.485,4,0.593,0.25730151513611,0.496072275740747,0.0988358980586735
FALSE,0.682,0.639,"8",-4.406,"1",0.292,0.0284,0,0.197,0.183,4,-0.9851,0.345997475499417,0.416820672134446,0.0597231137558335
FALSE,0.781,0.487,"8",-8.823,"1",0.589,0.0335,0,0.163,0.344,4,0.9953,0.265411001186719,0.448584007448406,0.142849707673358
FALSE,0.793,0.395,"1",-5.578,"1",0.385,0.277,1.4e-05,0.109,0.129,4,0.9886,0.309806188657759,0.360382151896957,0.142849707673358
FALSE,0.488,0.803,"6",-4.165,"0",0.205,0.0786,0,0.215,0.319,4,-0.9975,0.38019007833505,0.78287334434375,0.0597231137558335
FALSE,0.821,0.72,"10",-4.606,"0",0.222,0.00902,7.07e-06,0.158,0.285,4,-0.9973,0.269097527354809,0.701979535597487,0.157917107614372
FALSE,0.49,0.651,"8",-6.24,"1",0.251,0.246,0,0.233,0.46,4,0.9969,0.358474725217262,0.768294679910357,0.0597231137558335
FALSE,0.766,0.703,"10",-5.877,"0",0.163,0.00807,0,0.0618,0.331,4,0.6341,0.244744376159302,0.762900199778232,0.133724258774136
FALSE,0.821,0.694,"9",-5.169,"1",0.229,0.03,0,0.411,0.23,4,-0.9954,0.341727031474916,0.39790490181859,0.156407765305945
FALSE,0.881,0.623,"1",-9.662,"1",0.119,0.257,1.5e-06,0.0964,0.745,4,-0.9734,0.188171160558528,0.416179697478677,0.00798043059627696
FALSE,0.92,0.458,"5",-5.643,"0",0.315,0.0171,0,0.107,0.403,4,-0.9961,0.232049246644288,0.622222638101966,0.142849707673358
FALSE,0.609,0.836,"4",-3.442,"0",0.264,0.593,0,0.466,0.584,4,-0.9966,0.263306282346072,0.33732577887778,0.0597231137558335
FALSE,0.733,0.63,"11",-4.296,"1",0.395,0.13,0,0.162,0.833,4,-0.9941,0.22078486113068,0.701754960535612,0.102921531548724
FALSE,0.672,0.565,"1",-6.504,"1",0.441,0.106,0,0.113,0.313,4,-0.9769,0.246677696226177,0.766488722121112,0.142849707673358
FALSE,0.888,0.432,"10",-9.275,"0",0.0934,0.0562,0,0.112,0.173,4,-0.9924,0.251267697286525,0.467700959590525,0.142849707673358
TRUE,0.835,0.626,"1",-5.833,"1",0.125,0.0589,6e-05,0.396,0.35,4,-0.9758,0.316543031986207,0.425897247551898,1
TRUE,0.545,0.854,"4",-4.968,"0",0.0289,0.00244,1.2e-06,0.249,0.436,4,-0.4196,0.259984341705243,0.430281139905585,0.036709980742874
TRUE,0.963,0.346,"5",-9.309,"0",0.53,0.0355,0,0.108,0.562,4,-0.0752,0.206656082550298,0.561236472861507,1
TRUE,0.912,0.412,"7",-8.074,"1",0.123,0.0165,0.0126,0.104,0.423,4,0.2019,0.346594466143658,0.725110766970623,1
TRUE,0.397,0.843,"10",-3.726,"0",0.0987,0.158,0,0.0844,0.22,4,0.9985,0.347650456893935,0.379910824985847,0.0822678301903159
FALSE,0.755,0.615,"4",-8.245,"1",0.0454,0.00587,1.75e-06,0.109,0.039,4,-0.9992,0.312823097582551,0.495726055853689,0.0884613382835135
FALSE,0.64,0.321,"0",-14.604,"1",0.0931,0.693,0.0307,0.114,0.177,4,0.9861,0.30557786806071,0.678614371868231,0.0707829496365434
FALSE,0.81,0.353,"6",-9.931,"0",0.31,0.588,0,0.102,0.0727,4,-0.6519,0.302552243944031,0.411865984831826,0.156407765305945
FALSE,0.825,0.572,"6",-6.067,"0",0.0864,0.0079,0,0.113,0.568,4,-0.9977,0.255578812206498,0.664325783556427,0.111925539112784
TRUE,0.63,0.694,"11",-6.257,"0",0.0253,0.00281,0,0.0719,0.216,4,0.9978,0.283997600417167,0.453852164108226,0.100831005707743
TRUE,0.434,0.831,"8",-4.774,"1",0.0453,0.0651,0,0.119,0.596,4,0.9881,0.26935753057943,0.730028025096263,0.0217466733748547
FALSE,0.753,0.686,"1",-5.415,"0",0.284,0.0677,0,0.193,0.886,4,0.9531,0.282854457748023,0.61783874574828,1
FALSE,0.635,0.902,"0",-3.559,"1",0.109,0.172,0,0.125,0.285,4,0.3736,0.316393421192151,0.477512082606194,0.102921531548724
FALSE,0.565,0.855,"5",-4.189,"1",0.0557,0.0445,0,0.32,0.852,4,0.9892,0.303423763132705,0.350804961237409,0.0556461546468659
TRUE,0.807,0.153,"7",-14.343,"1",0.102,0.978,0.944,0.119,0.17,4,0.9986,0.30650894106061,0.351006143063672,0.0943338942766434
FALSE,0.87,0.35,"1",-6.082,"1",0.277,0.00661,0.000483,0.108,0.175,4,-0.9851,0.244529401426096,0.350725424236328,0.156407765305945
TRUE,0.901,0.522,"2",-8.304,"1",0.33,0.0114,0,0.259,0.329,4,-0.9956,0.185847109388731,0.486827269026888,0.253239881334467
TRUE,0.669,0.574,"4",-6.442,"0",0.0286,0.0175,0.00294,0.146,0.273,4,0.5742,0.285277281092536,0.561498477100362,0.328793740566611
FALSE,0.699,0.558,"11",-7.622,"1",0.0603,0.462,0,0.116,0.493,4,-0.9705,0.239667776885278,0.374254340614868,0.0158827917628077
TRUE,0.752,0.505,"9",-7.621,"1",0.253,0.535,2.55e-06,0.104,0.419,4,0.9988,0.286783556756961,0.430295175846952,0.0601655071910619
TRUE,0.782,0.51,"4",-5.724,"0",0.0419,0.143,0,0.115,0.118,4,-0.9875,0.208256772793495,0.467831961709952,0.279549279158932
TRUE,0.74,0.613,"8",-4.88,"1",0.145,0.258,0.00372,0.123,0.473,4,-0.9933,0.242000543246961,0.351006143063672,0.328793740566611
FALSE,0.414,0.404,"0",-9.928,"0",0.0499,0.271,0,0.3,0.224,4,-0.9753,0.514661131551464,0.332675203638116,0.193117746048819
FALSE,0.66,0.615,"1",-7.2,"1",0.47,0.114,0,0.315,0.501,4,-0.9577,0.240418735919518,0.814243673299429,0.157917107614372
TRUE,0.79,0.629,"8",-4.055,"1",0.142,0.182,7.06e-06,0.338,0.267,4,0.9859,0.246378474638065,0.79547761969149,0.0231692718724519
FALSE,0.856,0.694,"2",-4.393,"1",0.169,0.371,0,0.109,0.489,4,-0.988,0.47089489042825,0.571169240702359,0.350471018892802
TRUE,0.711,0.796,"10",-5.87,"1",0.0341,0.0716,0.0045,0.262,0.901,4,-0.9334,0.303191358015725,0.514609075639688,0.0437362294200309
FALSE,0.454,0.66,"0",-4.357,"1",0.168,0.0364,0,0.181,0.568,4,-0.978,0.308937574533047,0.862522632955455,0.0364324005482209
TRUE,0.745,0.346,"1",-7.709,"1",0.331,0.00552,0,0.0881,0.112,4,-0.9844,0.344598687201595,0.954027613375316,0.0578060755365105
FALSE,0.544,0.524,"8",-7.914,"1",0.0621,0.136,0,0.106,0.117,4,0.9435,0.187999761784755,0.38356484838844,0.0884613382835135
FALSE,0.659,0.672,"9",-7.442,"1",0.264,0.413,0,0.125,0.452,4,-0.9803,0.258966116786476,0.654393015715576,0.0884613382835135
FALSE,0.728,0.517,"8",-11.404,"1",0.0629,0.0555,1.95e-06,0.107,0.379,4,-0.9898,0.251475409359826,0.523886832883403,0.0884613382835135
TRUE,0.758,0.574,"11",-6.889,"0",0.0572,0.46,0.00272,0.102,0.261,4,0.9915,0.277647130595698,0.711084182897673,0.00709564372582016
TRUE,0.6,0.683,"6",-6.271,"1",0.0493,0.0984,1.26e-06,0.11,0.494,4,0.7199,0.305380323711277,0.477390437781011,0.0700109297201645
TRUE,0.75,0.404,"9",-10.178,"0",0.0682,0.216,0.000357,0.0911,0.0499,4,0.9945,0.337354910211736,0.444682015748326,0.326460332055308
FALSE,0.638,0.4,"11",-11.212,"0",0.0425,0.733,0.000133,0.334,0.495,4,0.6936,0.241255394340645,0.702419328426992,0.221283461425027
FALSE,0.854,0.708,"1",-5.805,"0",0.244,0.175,0,0.241,0.172,4,-0.4607,0.235503367695398,0.552230077150891,0.0130462691486962
